MsgID.STATE,1521418377.9036155,False,False
MsgID.GLOBAL_HOME,1521418380.9344165,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418380.9792373,-122.3974492,37.7924791,5.1340000
MsgID.LOCAL_VELOCITY,1521418380.9792373,0.0000000,0.0100000,1.0400000
MsgID.LOCAL_POSITION,1521418380.9794328,-0.1452161,0.3567168,-5.1346736
MsgID.LOCAL_VELOCITY,1521418380.9794328,-0.0008902,0.0117876,1.0452445
MsgID.GLOBAL_POSITION,1521418381.2288420,-122.3974487,37.7924800,4.8200000
MsgID.LOCAL_VELOCITY,1521418381.2288420,0.0500000,0.3500000,0.8500000
MsgID.LOCAL_POSITION,1521418381.2701900,-0.0511154,0.4040042,-4.8190651
MsgID.LOCAL_VELOCITY,1521418381.2701900,0.0600834,0.3580027,0.8449226
MsgID.GLOBAL_POSITION,1521418381.4800086,-122.3974467,37.7924806,4.7850000
MsgID.LOCAL_VELOCITY,1521418381.4800086,0.4300000,0.9100000,-0.3900000
MsgID.LOCAL_POSITION,1521418381.5221639,0.0182264,0.5806559,-4.7855773
MsgID.LOCAL_VELOCITY,1521418381.5221639,0.4398223,0.9198390,-0.3937783
MsgID.GLOBAL_POSITION,1521418381.7287173,-122.3974444,37.7924832,4.8760000
MsgID.LOCAL_VELOCITY,1521418381.7287173,1.1500000,0.8600000,-0.2600000
MsgID.LOCAL_POSITION,1521418381.7309124,0.3072706,0.7854514,-4.8766384
MsgID.LOCAL_VELOCITY,1521418381.7309124,1.1530097,0.8605321,-0.2609050
MsgID.STATE,1521418381.9218159,True,True
MsgID.GLOBAL_HOME,1521418381.9345846,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418381.9798765,-122.3974440,37.7924865,4.8760000
MsgID.LOCAL_VELOCITY,1521418381.9798765,1.2400000,1.0400000,0.0600000
MsgID.LOCAL_POSITION,1521418381.9801912,0.6708199,0.8236598,-4.8762898
MsgID.LOCAL_VELOCITY,1521418381.9801912,1.2440069,1.0476867,0.0676744
MsgID.GLOBAL_POSITION,1521418382.2306285,-122.3974403,37.7924874,4.8490000
MsgID.LOCAL_VELOCITY,1521418382.2306285,0.8400000,1.6000000,-0.0800000
MsgID.LOCAL_POSITION,1521418382.2309322,0.7785037,1.1553785,-4.8490987
MsgID.LOCAL_VELOCITY,1521418382.2309322,0.8477870,1.6073754,-0.0804808
MsgID.GLOBAL_POSITION,1521418382.4797399,-122.3974346,37.7924881,4.8530000
MsgID.LOCAL_VELOCITY,1521418382.4797399,0.9000000,1.5700000,-0.1600000
MsgID.LOCAL_POSITION,1521418382.5221612,0.8483018,1.6627345,-4.8537154
MsgID.LOCAL_VELOCITY,1521418382.5221612,0.9090193,1.5726134,-0.1636401
MsgID.GLOBAL_POSITION,1521418382.7311306,-122.3974287,37.7924918,4.8710000
MsgID.LOCAL_VELOCITY,1521418382.7311306,1.5800000,1.0500000,-0.1400000
MsgID.LOCAL_POSITION,1521418382.7314165,1.2614830,2.1842411,-4.8716922
MsgID.LOCAL_VELOCITY,1521418382.7314165,1.5875328,1.0564406,-0.1447491
MsgID.STATE,1521418382.9212053,True,True
MsgID.GLOBAL_HOME,1521418382.9337866,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418382.9814095,-122.3974273,37.7924971,4.8750000
MsgID.LOCAL_VELOCITY,1521418382.9814095,1.5100000,0.7900000,-0.0900000
MsgID.LOCAL_POSITION,1521418382.9816680,1.8549557,2.3071561,-4.8758130
MsgID.LOCAL_VELOCITY,1521418382.9816680,1.5175866,0.7904857,-0.0967900
MsgID.GLOBAL_POSITION,1521418383.2321303,-122.3974266,37.7924990,4.8810000
MsgID.LOCAL_VELOCITY,1521418383.2321303,1.1700000,1.0100000,-0.0600000
MsgID.LOCAL_POSITION,1521418383.2742307,2.0615938,2.3654857,-4.8810530
MsgID.LOCAL_VELOCITY,1521418383.2742307,1.1765306,1.0119847,-0.0634721
MsgID.GLOBAL_POSITION,1521418383.4822242,-122.3974227,37.7925017,4.8930000
MsgID.LOCAL_VELOCITY,1521418383.4822242,1.4300000,1.0500000,-0.0200000
MsgID.LOCAL_POSITION,1521418383.4831390,2.3612452,2.7156858,-4.8936133
MsgID.LOCAL_VELOCITY,1521418383.4831390,1.4338332,1.0535724,-0.0231404
MsgID.GLOBAL_POSITION,1521418383.7326696,-122.3974184,37.7925045,4.9040000
MsgID.LOCAL_VELOCITY,1521418383.7326696,1.3500000,1.1600000,0.0500000
MsgID.LOCAL_POSITION,1521418383.7741995,2.6795359,3.1007013,-4.9040885
MsgID.LOCAL_VELOCITY,1521418383.7741995,1.3572962,1.1686690,0.0538787
MsgID.STATE,1521418383.9217012,True,True
MsgID.GLOBAL_HOME,1521418383.9344430,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418383.9826083,-122.3974136,37.7925073,4.9100000
MsgID.LOCAL_VELOCITY,1521418383.9826083,1.1200000,1.3700000,0.0800000
MsgID.LOCAL_POSITION,1521418383.9830241,2.9922364,3.5213146,-4.9108458
MsgID.LOCAL_VELOCITY,1521418383.9830241,1.1268777,1.3788688,0.0842477
MsgID.GLOBAL_POSITION,1521418384.2323050,-122.3974110,37.7925110,4.9130000
MsgID.LOCAL_VELOCITY,1521418384.2323050,1.4600000,1.1200000,0.1300000
MsgID.LOCAL_POSITION,1521418384.2325332,3.3966002,3.7531662,-4.9138422
MsgID.LOCAL_VELOCITY,1521418384.2325332,1.4629939,1.1263474,0.1358080
MsgID.GLOBAL_POSITION,1521418384.4831734,-122.3974089,37.7925149,4.9090000
MsgID.LOCAL_VELOCITY,1521418384.4831734,1.3500000,1.1900000,0.1600000
MsgID.LOCAL_POSITION,1521418384.5261614,3.8357835,3.9393878,-4.9093294
MsgID.LOCAL_VELOCITY,1521418384.5261614,1.3565565,1.1973068,0.1699191
MsgID.GLOBAL_POSITION,1521418384.7350135,-122.3974036,37.7925160,4.9090000
MsgID.LOCAL_VELOCITY,1521418384.7350135,0.7400000,1.5300000,0.1100000
MsgID.LOCAL_POSITION,1521418384.7353470,3.9578958,4.4130316,-4.9094596
MsgID.LOCAL_VELOCITY,1521418384.7353470,0.7462450,1.5390583,0.1134644
MsgID.STATE,1521418384.9218507,True,True
MsgID.GLOBAL_HOME,1521418384.9350355,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418384.9836433,-122.3974020,37.7925175,4.9070000
MsgID.LOCAL_VELOCITY,1521418384.9836433,0.6500000,1.3300000,0.1100000
MsgID.LOCAL_POSITION,1521418384.9839125,4.1206503,4.5525627,-4.9073219
MsgID.LOCAL_VELOCITY,1521418384.9839125,0.6600296,1.3379874,0.1101717
MsgID.GLOBAL_POSITION,1521418385.2338109,-122.3973971,37.7925198,4.9020000
MsgID.LOCAL_VELOCITY,1521418385.2338109,1.2300000,1.4800000,0.0400000
MsgID.LOCAL_POSITION,1521418385.2743411,4.3707819,4.9945092,-4.9028773
MsgID.LOCAL_VELOCITY,1521418385.2743411,1.2354752,1.4835413,0.0497226
MsgID.GLOBAL_POSITION,1521418385.4870057,-122.3973911,37.7925227,4.9010000
MsgID.LOCAL_VELOCITY,1521418385.4870057,1.2400000,1.6400000,-0.0200000
MsgID.LOCAL_POSITION,1521418385.4874473,4.6937976,5.5220995,-4.9011540
MsgID.LOCAL_VELOCITY,1521418385.4874473,1.2496166,1.6479781,-0.0288478
MsgID.GLOBAL_POSITION,1521418385.7343020,-122.3973887,37.7925242,4.9040000
MsgID.LOCAL_VELOCITY,1521418385.7343020,1.2000000,1.2500000,-0.0900000
MsgID.LOCAL_POSITION,1521418385.7783091,4.8632646,5.7397642,-4.9044852
MsgID.LOCAL_VELOCITY,1521418385.7783091,1.2072191,1.2550023,-0.0961120
MsgID.STATE,1521418385.9217229,True,True
MsgID.GLOBAL_HOME,1521418385.9343102,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418385.9851654,-122.3973850,37.7925271,4.9020000
MsgID.LOCAL_VELOCITY,1521418385.9851654,1.6800000,0.8000000,-0.0800000
MsgID.LOCAL_POSITION,1521418385.9882979,5.1920571,6.0687242,-4.9022198
MsgID.LOCAL_VELOCITY,1521418385.9882979,1.6870875,0.8041705,-0.0850808
MsgID.GLOBAL_POSITION,1521418386.2342615,-122.3973837,37.7925326,4.8970000
MsgID.LOCAL_VELOCITY,1521418386.2342615,1.6200000,0.7700000,-0.1100000
MsgID.LOCAL_POSITION,1521418386.2821429,5.7952514,6.1808796,-4.8974609
MsgID.LOCAL_VELOCITY,1521418386.2821429,1.6247543,0.7735894,-0.1157709
MsgID.GLOBAL_POSITION,1521418386.4869490,-122.3973806,37.7925361,4.9020000
MsgID.LOCAL_VELOCITY,1521418386.4869490,1.1600000,1.1100000,-0.1300000
MsgID.LOCAL_POSITION,1521418386.5262227,6.1845355,6.4593377,-4.9026217
MsgID.LOCAL_VELOCITY,1521418386.5262227,1.1619573,1.1115552,-0.1331172
MsgID.GLOBAL_POSITION,1521418386.7344043,-122.3973758,37.7925384,4.9180000
MsgID.LOCAL_VELOCITY,1521418386.7344043,1.2600000,1.3400000,-0.1300000
MsgID.LOCAL_POSITION,1521418386.7792156,6.4389896,6.8855238,-4.9185343
MsgID.LOCAL_VELOCITY,1521418386.7792156,1.2698426,1.3418938,-0.1319776
MsgID.STATE,1521418386.9232297,True,True
MsgID.GLOBAL_HOME,1521418386.9337492,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418386.9839220,-122.3973729,37.7925411,4.9250000
MsgID.LOCAL_VELOCITY,1521418386.9839220,1.1900000,1.6500000,0.0000000
MsgID.LOCAL_POSITION,1521418386.9845068,6.7413454,7.1427441,-4.9250631
MsgID.LOCAL_VELOCITY,1521418386.9845068,1.1936072,1.6570549,0.0039487
MsgID.GLOBAL_POSITION,1521418387.2352829,-122.3973687,37.7925435,4.9240000
MsgID.LOCAL_VELOCITY,1521418387.2352829,1.1200000,1.5900000,0.0200000
MsgID.LOCAL_POSITION,1521418387.2782111,7.0085773,7.5188913,-4.9248290
MsgID.LOCAL_VELOCITY,1521418387.2782111,1.1294713,1.5897415,0.0228194
MsgID.GLOBAL_POSITION,1521418387.4838364,-122.3973649,37.7925465,4.9330000
MsgID.LOCAL_VELOCITY,1521418387.4838364,1.5100000,1.2000000,0.0000000
MsgID.LOCAL_POSITION,1521418387.4842219,7.3401780,7.8586307,-4.9335356
MsgID.LOCAL_VELOCITY,1521418387.4842219,1.5167669,1.2046210,-0.0006796
MsgID.GLOBAL_POSITION,1521418387.7354465,-122.3973633,37.7925500,4.9480000
MsgID.LOCAL_VELOCITY,1521418387.7354465,1.3900000,1.0800000,0.1200000
MsgID.LOCAL_POSITION,1521418387.7781861,7.7292967,8.0005617,-4.9484792
MsgID.LOCAL_VELOCITY,1521418387.7781861,1.3974110,1.0838605,0.1227457
MsgID.STATE,1521418387.9214878,True,True
MsgID.GLOBAL_HOME,1521418387.9342027,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418387.9844437,-122.3973598,37.7925529,4.9360000
MsgID.LOCAL_VELOCITY,1521418387.9844437,0.8800000,1.4100000,0.1100000
MsgID.LOCAL_POSITION,1521418387.9847534,8.0562830,8.3069315,-4.9365778
MsgID.LOCAL_VELOCITY,1521418387.9847534,0.8803092,1.4170488,0.1189803
MsgID.GLOBAL_POSITION,1521418388.2344708,-122.3973539,37.7925555,4.9350000
MsgID.LOCAL_VELOCITY,1521418388.2344708,0.6700000,1.3100000,0.0900000
MsgID.LOCAL_POSITION,1521418388.2781870,8.3436794,8.8305902,-4.9359312
MsgID.LOCAL_VELOCITY,1521418388.2781870,0.6773978,1.3169690,0.0928289
MsgID.GLOBAL_POSITION,1521418388.4882841,-122.3973504,37.7925561,4.9340000
MsgID.LOCAL_VELOCITY,1521418388.4882841,1.0300000,1.0900000,0.0400000
MsgID.LOCAL_POSITION,1521418388.5301924,8.4103708,9.1454906,-4.9343395
MsgID.LOCAL_VELOCITY,1521418388.5301924,1.0310842,1.0990808,0.0488527
MsgID.GLOBAL_POSITION,1521418388.7395065,-122.3973457,37.7925580,4.9290000
MsgID.LOCAL_VELOCITY,1521418388.7395065,1.0700000,1.2600000,0.0200000
MsgID.LOCAL_POSITION,1521418388.7398281,8.6182232,9.5617132,-4.9298315
MsgID.LOCAL_VELOCITY,1521418388.7398281,1.0745059,1.2695336,0.0262677
MsgID.STATE,1521418388.9228573,True,True
MsgID.GLOBAL_HOME,1521418388.9354668,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418388.9892638,-122.3973421,37.7925615,4.9230000
MsgID.LOCAL_VELOCITY,1521418388.9892638,1.2000000,1.0200000,-0.0100000
MsgID.LOCAL_POSITION,1521418388.9896247,9.0090389,9.8839483,-4.9237461
MsgID.LOCAL_VELOCITY,1521418388.9896247,1.2094295,1.0239487,-0.0153314
MsgID.GLOBAL_POSITION,1521418389.2389722,-122.3973422,37.7925646,4.9180000
MsgID.LOCAL_VELOCITY,1521418389.2389722,1.6000000,0.6000000,-0.0800000
MsgID.LOCAL_POSITION,1521418389.2393601,9.3566837,9.8703117,-4.9182668
MsgID.LOCAL_VELOCITY,1521418389.2393601,1.6065083,0.6054320,-0.0892698
MsgID.GLOBAL_POSITION,1521418389.4890041,-122.3973414,37.7925668,4.9220000
MsgID.LOCAL_VELOCITY,1521418389.4890041,1.3900000,0.3700000,-0.1600000
MsgID.LOCAL_POSITION,1521418389.4893315,9.5984459,9.9413834,-4.9224038
MsgID.LOCAL_VELOCITY,1521418389.4893315,1.3961082,0.3739994,-0.1685929
MsgID.GLOBAL_POSITION,1521418389.7402349,-122.3973382,37.7925687,4.9280000
MsgID.LOCAL_VELOCITY,1521418389.7402349,0.7300000,0.1900000,-0.1400000
